text,diggCount
REPOTTTTTT YAALLAH REPOTTTTTTTT,83
KALI INI GW GA SEPAKAT,459
UNIV ANEEEH,28
MALAH NGREPOTI YEK,50
satpame kon kerjo sek,354
mls boros bensinnnn boros duitt,7
"looo lagunya pas ""buang buang waktu""",8
Dari dulu knp satpam nya ga pernah mau nyebrangin ya. Drpd cm diem di pos gt lho maksudnya apalagi di jam padat,202
"wangune iki mangkat bali kon jalan"" sek",0
tdi nyebrang ada satpam tp gamau nyebrangin??,43
"min benerin satpamnya jgn rutenya, ngabisin bensin muter”",54
ini kebijakan untuk apa sebenarnya? sangat tidak bijak,55
satpam UNY hanya melayani karyawan dan dosen...upsi,52
hah apasih gajelas bgt kebijakannya,40
"daripada meminta satpam membantu menyeberangkan, uny memilih merubah alur masuk dan keluar, nice uny????",35
"kebijakan yang tidak bijak, hanya mementingkan ego sendiri ??",81
"kebijakan apa la ini merugikan mahasiswa sama pekerja di kampus aja, ga guna banget",72
"Kalo rumahnya ke arah barat, terus harus ke timur dulu? Aneh! Kebijakan yg tidak bijak.",728
bukannya evaluasi satpamnya malah ngubah peraturan lawakk..,1113
"ealahhh fakultas mek geser sitik seko ringroad kok dikon geser terus tekan rektorat, pemerintah tolong tegur univ ini dong karena gak menerapkan efisiensi bahan bakar hehehe",327
moh,36
HAPUS PERATURAN INI PLS! NYUSAHIN BGTTTT!,21
RIBET.,12
"dih ngatur jalan, polisi emangnya?",24
ribet.,22
peraturan ga worth it. kebijakan yg merugikan pengguna. dampak negatif lebih banyak drpd positifnya. apa maksud dan tujuannya? gunanya apa?,18
"mending satpam depan rektorat suruh kerja, masa di depan rektorat macet mahasiswa pada nyebrang gak dibantu, bukannya hemat energi, tapi mutar muter ngabisin bensin, udah tau rektorat di belokan dan jalan raya umum, selain merepotkan mahasiswa, masyarakat umum juga jadi terganggu",30
kebijakan ter ANEH,6
"evaluasi tuh keamanan nya, tahun 2022 saya kehilangan helm, gada perbaikan soal sistem keamanan atau gimana sampe ada kehilangan kendaraan itu gimana ya? malah dibuat akses jalan yang menyusahkan orang sekarang, aneh",27
"ini maksudnya nyuruh pindah arah kos sm rumah kah?? ga boleh aja semua bukan menghemat bensin bikin boros aja, kmrn brngkat siang satpamnya lagi duduk ngopi tu keknya",14
jujur ribet,479
"BIAR APA SIIII, mending pake sistem scan ktm",1531
"[Sticker] ft ga ikutan, kita beda klaster",425
"ribet marai telat, cmn dr gejayan mau ke feb kok ndadak lewat rektorat",791
